nu,p,h,Total KSP Iterations,SNES Solve Time,DoFs/Sec in SNES,L2 Error
0.3,1,4,10,0.151738,0.00533814,1.0476660e-01
0.3,1,5,10,0.218718,0.00877843,5.1292710e-02
0.3,1,6,10,0.304552,0.0123132,3.0227860e-02
0.3,1,7,10,0.437008,0.0148281,1.9874260e-02
0.3,1,8,10,0.614823,0.0167365,1.4045690e-02
0.3,1,9,10,0.80715,0.0190299,1.0447840e-02
0.3,1,10,10,0.98947,0.0221028,8.0736190e-03
0.3,1,11,10,1.27905,0.023455,6.4255330e-03
0.3,1,12,10,1.55877,0.0256163,5.2351960e-03
0.3,1,13,10,1.86745,0.0277597,4.3475820e-03
0.3,1,14,10,2.16236,0.0304806,3.6681090e-03
0.3,1,15,10,2.59809,0.0316848,3.1364330e-03
0.3,2,4,9,0.0233784,0.396135,4.3122870e-03
0.3,2,5,9,0.0398252,0.494235,1.8043940e-03
0.3,2,6,9,0.0632451,0.568218,8.7693780e-04
0.3,2,7,10,0.100613,0.655082,4.7418780e-04
0.3,2,8,10,0.149867,0.675601,2.7768890e-04
0.3,2,9,10,0.214071,0.688511,1.7297200e-04
0.3,2,10,10,0.287846,0.714861,1.1317160e-04
0.3,2,11,10,0.388483,0.715166,7.7069040e-05
0.3,2,12,10,0.502354,0.726599,5.4255130e-05
0.3,2,13,10,0.647317,0.724143,3.9278000e-05
0.3,2,14,10,0.811205,0.727917,2.9122490e-05
0.3,2,15,10,1.00362,0.729028,2.2042570e-05
0.3,3,4,9,0.0540214,0.665237,1.4523670e-04
0.3,3,5,9,0.0930581,0.796148,4.8704580e-05
0.3,3,6,10,0.164899,0.893818,1.9770350e-05
0.3,3,7,10,0.256759,0.934729,9.1858210e-06
0.3,3,8,10,0.385434,0.947009,4.7184610e-06
0.3,3,9,10,0.546553,0.964737,2.6186950e-06
0.3,3,10,10,0.782151,0.935459,1.5454090e-06
0.3,3,11,10,1.01511,0.96841,9.5868480e-07
0.3,3,12,10,1.32657,0.969605,6.1981140e-07
0.3,3,13,10,1.67349,0.98367,4.1490730e-07
0.3,3,14,10,2.06956,0.999067,2.8610720e-07
0.3,3,15,10,2.63219,0.970871,2.0240750e-07
0.3,4,4,12,0.112734,1.07776,4.6167850e-06
0.3,4,5,13,0.215418,1.24178,1.2407140e-06
0.3,4,6,13,0.356101,1.33253,4.2045400e-07
0.3,4,7,13,0.567429,1.35283,1.6772950e-07
0.3,4,8,13,0.850551,1.366,7.5500450e-08
0.3,4,9,13,1.23274,1.35643,3.7294800e-08
0.3,4,10,13,1.77428,1.30387,1.9830540e-08
0.3,4,11,13,2.28719,1.35572,1.1195670e-08
0.3,4,12,13,2.96047,1.36772,6.6402050e-09
0.3,4,13,13,3.79956,1.36157,4.1063080e-09
0.3,4,14,13,4.75951,1.3633,2.6312540e-09
0.3,4,15,13,6.00002,1.33496,1.7404330e-09
0.49,1,4,10,0.144562,0.00560314,3.3790620e-01
0.49,1,5,10,0.214318,0.00895867,2.1284420e-01
0.49,1,6,11,0.314968,0.0130966,1.5118880e-01
0.49,1,7,13,0.438442,0.0192135,1.1433030e-01
0.49,1,8,15,0.626497,0.024637,8.9878900e-02
0.49,1,9,16,0.824681,0.0298006,7.2597270e-02
0.49,1,10,18,1.00274,0.0392586,5.9851360e-02
0.49,1,11,19,1.3019,0.043782,5.0155650e-02
0.49,1,12,20,1.5952,0.0500627,4.2602590e-02
0.49,1,13,21,1.94187,0.0560614,3.6604740e-02
0.49,1,14,22,2.25208,0.0643859,3.1765090e-02
0.49,1,15,23,2.74232,0.0690423,2.7806220e-02
0.49,2,4,35,0.0384455,0.936781,5.7806320e-02
0.49,2,5,38,0.0734282,1.1318,2.8007800e-02
0.49,2,6,41,0.126106,1.29822,1.5097620e-02
0.49,2,7,43,0.205878,1.37661,8.8030260e-03
0.49,2,8,43,0.312777,1.39197,5.4537140e-03
0.49,2,9,44,0.45348,1.43009,3.5465220e-03
0.49,2,10,45,0.627906,1.47469,2.3996870e-03
0.49,2,11,46,0.857237,1.49086,1.6784000e-03
0.49,2,12,46,1.12173,1.49683,1.2073270e-03
0.49,2,13,46,1.45595,1.48099,8.8962960e-04
0.49,2,14,46,1.83884,1.47716,6.6935380e-04
0.49,2,15,46,2.28564,1.47254,5.1289710e-04
0.49,3,4,42,0.124527,1.34674,2.4056260e-03
0.49,3,5,44,0.233519,1.55109,8.9862290e-04
0.49,3,6,45,0.415707,1.59549,3.9073860e-04
0.49,3,7,45,0.657186,1.64337,1.9017210e-04
0.49,3,8,45,0.989793,1.65948,1.0094300e-04
0.49,3,9,46,1.42533,1.7017,5.7386610e-05
0.49,3,10,46,2.17632,1.5465,3.4488080e-05
0.49,3,11,46,2.661,1.69935,2.1698250e-05
0.49,3,12,46,3.68337,1.60634,1.4185860e-05
0.49,3,13,46,4.36837,1.73345,9.5819350e-06
0.49,3,14,46,5.58449,1.70313,6.6562300e-06
0.49,3,15,46,7.10127,1.65539,4.7378210e-06
0.49,4,4,57,0.296445,1.94682,8.6481520e-05
0.49,4,5,58,0.585972,2.03673,2.5047110e-05
0.49,4,6,59,1.00052,2.15245,8.8912230e-06
0.49,4,7,60,1.63039,2.17306,3.6578280e-06
0.49,4,8,60,2.45913,2.1806,1.6823030e-06
0.49,4,9,60,3.60128,2.14299,8.4410660e-07
0.49,4,10,61,5.08779,2.13361,4.5413980e-07
0.49,4,11,61,6.82406,2.13213,2.5870020e-07
