nu,p,h,DoF,#CG,Solve Time(s),MDoFs/Sec,L2 Error,Total Time(sec),np
0.3,1,25,41472,15,0.447212,1.39102,0.001021426,1.018,64
0.3,1,26,46875,15,0.49051,1.43346,0.0009391153,1.051,64
0.3,1,75,1215672,19,8.44432,2.7353,0.0001033693,12.55,64
0.3,1,76,1265625,19,8.32722,2.88774,0.0001006074,12.79,64
0.3,1,100,2910897,20,17.8825,3.25558,5.749767e-05,27.88,64
0.3,1,125,5719872,21,34.772,3.45443,3.655391e-05,55.11,64
0.3,2,10,20577,11,0.0771053,2.93556,0.0001131716,0.175,64
0.3,2,11,27783,11,0.0722251,4.2314,7.706906e-05,0.1797,64
0.3,2,18,128625,13,1.32036,1.26641,1.055865e-05,4.523,64
0.3,2,19,151959,13,0.164571,12.0037,8.488571e-06,0.7529,64
0.3,2,32,750141,15,0.622079,18.0879,1.037496e-06,1.095,64
0.3,2,33,823875,15,0.687524,17.9748,9.165655e-07,1.188,64
0.3,3,4,3993,9,0.0281947,1.2746,0.0001452367,0.4097,64
0.3,3,5,8232,9,0.0331526,2.23476,4.870458e-05,0.3567,64
0.3,3,6,14739,10,0.0417612,3.52936,1.977035e-05,0.3698,64
0.3,3,7,24000,10,0.0404372,5.93513,9.18582e-06,0.4339,64
0.3,3,10,73167,10,0.063518,11.5191,1.545405e-06,0.7029,64
0.3,3,11,98304,11,0.073868,14.6389,9.586827e-07,1.337,64
0.3,4,2,1029,11,0.0328567,0.344496,0.0002361752,3.292,64
0.3,4,3,3993,12,0.0751448,0.637649,2.447467e-05,2.247,64
0.3,4,4,10125,13,0.0432272,3.04496,4.616783e-06,2.59,64
0.3,4,5,20577,13,0.0651581,4.10541,1.240715e-06,3.198,64
0.3,4,6,36501,13,0.054656,8.68181,4.204536e-07,2.542,64
0.3,4,8,89373,13,0.0625579,18.5724,7.550478e-08,5.527,64
0.49,2,11,27783,45,0.0748696,16.6988,0.0016784,0.2793,64
0.49,2,12,36501,46,0.0862739,19.4618,0.001207327,0.1987,64
0.49,2,22,238521,47,0.359409,31.1915,0.0001148219,0.5761,64
0.49,2,23,273375,46,0.382068,32.9137,9.636036e-05,1.008,64
0.49,2,40,1479117,49,1.85278,39.1178,1.07031e-05,2.594,64
0.49,2,41,1594323,49,3.08354,25.3351,9.699117e-06,5.709,64
0.49,3,5,8232,43,2.81514,0.12574,0.0008986229,6.396,64
0.49,3,6,14739,45,0.079319,8.36187,0.0003907386,0.7246,64
0.49,3,8,36501,45,1.48441,1.10653,0.000100943,4.098,64
0.49,3,9,52728,46,0.856802,2.83086,5.738662e-05,4.454,64
0.49,3,12,128625,46,0.481423,12.2901,1.418586e-05,0.9049,64
0.49,3,13,164616,47,0.192614,40.1681,9.581928e-06,0.7798,64
0.49,4,4,10125,57,0.0919962,6.27336,8.648151e-05,2.291,64
0.49,4,7,59049,60,0.121726,29.1059,3.657836e-06,3.268,64
0.49,4,8,89373,60,0.1294,41.4403,1.682311e-06,2.553,64
0.49,4,9,128625,60,0.216975,35.5687,8.441154e-07,2.394,64
0.49,4,12,311469,61,0.309228,61.4421,1.545579e-07,3.515,64
0.49,4,13,397953,61,0.38344,63.3089,9.612526e-08,2.637,64
0.49999,2,12,36501,879,1.13306,28.3167,0.01130704,1.536,64
0.49999,2,13,46875,944,1.0188,43.4334,0.009524637,1.137,64
0.49999,2,37,1167051,1083,17.3969,72.652,0.001010604,18.05,64
0.49999,2,38,1265625,1119,19.8569,71.3222,0.0009530128,21.04,64
0.49999,3,7,24000,780,0.814258,22.9903,0.001409488,1.59,64
0.49999,3,8,36501,888,0.932572,34.7565,0.0009340219,4.746,64
0.49999,3,16,311469,1057,4.69823,70.0738,0.0001094439,6.334,64
0.49999,3,17,375000,1068,5.34218,74.9694,9.06141e-05,5.709,64
0.49999,4,5,20577,976,1.25508,16.0015,0.000176201,3.779,64
0.49999,4,6,36501,1107,3.96194,10.1987,8.450407e-05,8.8,64
0.49999,4,10,177957,1381,3.24694,75.6894,1.061804e-05,6.102,64
0.49999,4,11,238521,1394,4.26366,77.9842,7.195465e-06,6.549,64
0.499999,2,12,36501,1270,1.04262,44.4612,0.01130925,1.143,64
0.499999,2,13,46875,1454,1.43453,47.5113,0.009558596,1.953,64
0.499999,2,38,1265625,2938,48.5984,76.513,0.001027212,49.25,64
0.499999,2,39,1369599,2790,55.3997,68.9748,0.0009736041,58.29,64
0.499999,3,4,3993,557,0.394073,5.64388,0.02743432,0.6766,64
0.499999,3,5,8232,754,0.713703,8.69679,0.005985362,3.281,64
0.499999,3,7,24000,1075,1.08203,23.8441,0.001431734,1.39,64
0.499999,3,8,36501,1347,1.3198,37.2532,0.0009399828,1.873,64
0.499999,4,5,20577,1284,1.66964,15.8243,0.0001850743,5.731,64
0.499999,4,6,36501,1558,2.15175,26.429,8.587143e-05,4.426,64
0.499999,4,10,177957,2465,5.63349,77.8671,1.095025e-05,9.251,64
0.499999,4,11,238521,2630,7.88226,79.585,7.623563e-06,12.33,64
